8.222.133.203:443  | 64.252.88.177  | SG | 350ms | CloudFront | 2023-12-31 00:21:08
8.222.140.30:443   | 64.252.102.115 | SG | 224ms | CloudFront | 2023-12-31 00:21:09
8.222.198.38:443   | 64.252.114.177 | SG | 345ms | CloudFront | 2023-12-31 00:21:18
8.222.156.12:443   | 64.252.103.155 | SG | 212ms | CloudFront | 2023-12-31 00:21:21
8.222.198.38:443   | 64.252.114.177 | SG | 352ms | CloudFront | 2023-12-31 00:21:26
8.222.212.211:443  | 64.252.88.177  | SG | 231ms | CloudFront | 2023-12-31 00:21:27
8.222.246.151:443  | 64.252.88.177  | SG | 354ms | CloudFront | 2023-12-31 00:21:29
8.222.220.65:443   | 64.252.102.22  | SG | 227ms | CloudFront | 2023-12-31 00:21:32
47.57.8.181:443    | 64.252.103.155 | HK | 52ms | CloudFront | 2023-12-31 00:24:35
47.57.4.247:443    | 64.252.103.155 | HK | 48ms | CloudFront | 2023-12-31 00:24:35
47.57.6.218:443    | 64.252.103.155 | HK | 60ms | CloudFront | 2023-12-31 00:24:35
47.57.9.29:443     | 64.252.103.155 | HK | 49ms | CloudFront | 2023-12-31 00:24:36
47.57.71.186:443   | 64.252.105.239 | HK | 50ms | CloudFront | 2023-12-31 00:24:46
47.57.117.205:443  | 64.252.105.239 | HK | 47ms | CloudFront | 2023-12-31 00:24:51
47.57.137.41:443   | 64.252.105.239 | HK | 49ms | CloudFront | 2023-12-31 00:24:52
47.57.140.68:443   | 64.252.71.7    | HK | 49ms | CloudFront | 2023-12-31 00:24:54
47.57.186.165:443  | 64.252.103.155 | HK | 52ms | CloudFront | 2023-12-31 00:24:59
47.57.186.217:443  | 64.252.71.7    | HK | 51ms | CloudFront | 2023-12-31 00:24:59
47.57.183.180:443  | 64.252.106.165 | HK | 50ms | CloudFront | 2023-12-31 00:24:59
47.57.233.3:443    | 64.252.102.189 | HK | 55ms | CloudFront | 2023-12-31 00:25:12
47.57.8.181:443    | 64.252.102.189 | HK | 180ms | CloudFront | 2023-12-31 00:25:17
47.57.6.218:443    | 64.252.102.189 | HK | 51ms | CloudFront | 2023-12-31 00:25:18
47.57.9.29:443     | 64.252.102.189 | HK | 55ms | CloudFront | 2023-12-31 00:25:18
47.57.4.247:443    | 64.252.102.189 | HK | 48ms | CloudFront | 2023-12-31 00:25:18
47.57.71.186:443   | 64.252.105.239 | HK | 50ms | CloudFront | 2023-12-31 00:25:31
47.57.117.205:443  | 64.252.103.155 | HK | 47ms | CloudFront | 2023-12-31 00:25:35
47.57.137.41:443   | 64.252.103.155 | HK | 49ms | CloudFront | 2023-12-31 00:25:36
47.57.140.68:443   | 64.252.71.7    | HK | 49ms | CloudFront | 2023-12-31 00:25:37
47.57.186.165:443  | 64.252.103.155 | HK | 51ms | CloudFront | 2023-12-31 00:25:43
47.57.186.217:443  | 64.252.72.186  | HK | 52ms | CloudFront | 2023-12-31 00:25:43
47.57.183.180:443  | 64.252.106.165 | HK | 52ms | CloudFront | 2023-12-31 00:25:44
47.57.233.3:443    | 64.252.103.155 | HK | 56ms | CloudFront | 2023-12-31 00:25:56
47.74.2.61:443     | 64.252.113.53  | JP | 123ms | CloudFront | 2023-12-31 00:26:05
47.74.5.250:443    | 64.252.113.53  | JP | 0ms | CloudFront | 2023-12-31 00:26:05
47.74.18.224:443   | 64.252.113.53  | JP | 0ms | CloudFront | 2023-12-31 00:26:13
47.74.2.61:443     | 64.252.113.53  | JP | 123ms | CloudFront | 2023-12-31 00:26:15
47.74.63.30:443    | 64.252.113.53  | JP | 236ms | CloudFront | 2023-12-31 00:26:17
47.74.39.58:443    | 64.252.113.53  | JP | 115ms | CloudFront | 2023-12-31 00:26:18
47.74.48.59:443    | 64.252.72.186  | JP | 237ms | CloudFront | 2023-12-31 00:26:22
47.74.48.59:443    | 64.252.72.186  | JP | 242ms | CloudFront | 2023-12-31 00:26:27
47.74.63.30:443    | 64.252.110.50  | JP | 236ms | CloudFront | 2023-12-31 00:26:28
47.75.121.212:443  | 64.252.105.239 | HK | 52ms | CloudFront | 2023-12-31 00:27:47
47.75.121.212:443  | 64.252.105.239 | HK | 293ms | CloudFront | 2023-12-31 00:28:09
47.75.185.79:443   | 64.252.103.155 | HK | 51ms | CloudFront | 2023-12-31 00:28:22
47.75.185.79:443   | 64.252.102.189 | HK | 53ms | CloudFront | 2023-12-31 00:28:43
47.76.47.193:443   | 64.252.83.182  | US | 61ms | CloudFront | 2023-12-31 00:29:03
47.76.190.183:443  | 64.252.103.155 | US | 50ms | CloudFront | 2023-12-31 00:29:37
47.76.190.183:443  | 64.252.105.239 | US | 52ms | CloudFront | 2023-12-31 00:29:53
47.91.22.28:443    | 64.252.113.53  | JP | 118ms | CloudFront | 2023-12-31 00:34:52
47.91.18.173:443   | 64.252.113.53  | JP | 0ms | CloudFront | 2023-12-31 00:34:54
47.91.17.40:443    | 64.252.113.53  | JP | 0ms | CloudFront | 2023-12-31 00:34:54
47.91.19.88:443    | 64.252.113.53  | JP | 929ms | CloudFront | 2023-12-31 00:34:54
47.91.16.100:443   | 64.252.118.131 | JP | 0ms | CloudFront | 2023-12-31 00:34:54
47.91.29.236:443   | 64.252.113.53  | JP | 0ms | CloudFront | 2023-12-31 00:34:55
47.91.10.247:443   | 64.252.113.53  | JP | 305ms | CloudFront | 2023-12-31 00:34:55
47.91.22.28:443    | 64.252.113.53  | JP | 422ms | CloudFront | 2023-12-31 00:34:57
47.91.16.100:443   | 64.252.118.131 | JP | 224ms | CloudFront | 2023-12-31 00:34:57
47.91.18.173:443   | 64.252.113.53  | JP | 0ms | CloudFront | 2023-12-31 00:34:57
47.236.11.185:443  | 64.252.104.154 | SG | 204ms | CloudFront | 2023-12-31 00:36:45
